Emission,time,comp,Type,intensity1,position,d1_time,Totalbio,Leaf3,Channel_number
0.000979868,5,IGL,a,0,,,1,1,11
0.120716737,0,TPS10,a,0,,,1,1,12
0.093784785,0.5,TPS10,a,0,,,1,1,12
0.066852833,1,TPS10,a,0,,,1,1,12
0.03992088,1.5,TPS10,a,0,,,1,1,12
0.012988928,2,TPS10,a,0,,,1,1,12
0.008704396,3,TPS10,a,0,,,1,1,12
0.000135332,5,TPS10,a,0,,,1,1,12
0.405749664,0,TPS2,a,0,,,1,1,13
0.313868186,0.5,TPS2,a,0,,,1,1,13
0.221986708,1,TPS2,a,0,,,1,1,13
0.130105229,1.5,TPS2,a,0,,,1,1,13
0.038223751,2,TPS2,a,0,,,1,1,13
0.031815965333333335,3,TPS2,a,0,,,1,1,13
0.019000394,5,TPS2,a,0,,,1,1,13
0.0138051,0,CYP92C5,a,0,,,1,1,14
0.0135647,0.5,CYP92C5,a,0,,,1,1,14
0.0133243,1,CYP92C5,a,0,,,1,1,14
0.0130839,1.5,CYP92C5,a,0,,,1,1,14
0.0128435,2,CYP92C5,a,0,,,1,1,14
0.008732733,3,CYP92C5,a,0,,,1,1,14
0.0005112,5,CYP92C5,a,0,,,1,1,14
0.010451786,0,IGL,a,0,,,1,1,15
0.009293954,0.5,IGL,a,0,,,1,1,15
0.008136121,1,IGL,a,0,,,1,1,15
0.006978289,1.5,IGL,a,0,,,1,1,15
0.005820456,2,IGL,a,0,,,1,1,15
0.004044011,3,IGL,a,0,,,1,1,15
0.000491121,5,IGL,a,0,,,1,1,15
0.004029528,0,TPS10,a,0,,,1,1,16
0.012028253,0.5,TPS10,a,0,,,1,1,16
0.020026977,1,TPS10,a,0,,,1,1,16
0.028025701500000003,1.5,TPS10,a,0,,,1,1,16
0.036024426,2,TPS10,a,0,,,1,1,16
0.024374067,3,TPS10,a,0,,,1,1,16
0.001073349,5,TPS10,a,0,,,1,1,16
0.095184386,0,TPS2,a,0,,,1,1,17
0.082398876,0.5,TPS2,a,0,,,1,1,17
0.069613367,1,TPS2,a,0,,,1,1,17
0.056827857,1.5,TPS2,a,0,,,1,1,17
0.044042347,2,TPS2,a,0,,,1,1,17
0.03327152,3,TPS2,a,0,,,1,1,17
0.011729867,5,TPS2,a,0,,,1,1,17
0.0064204,0,CYP92C5,a,0,,,1,1,18
0.00667485,0.5,CYP92C5,a,0,,,1,1,18
0.0069293,1,CYP92C5,a,0,,,1,1,18
0.00718375,1.5,CYP92C5,a,0,,,1,1,18
0.0074382,2,CYP92C5,a,0,,,1,1,18
0.0051667,3,CYP92C5,a,0,,,1,1,18
0.0006237,5,CYP92C5,a,0,,,1,1,18
0.010193497,0,IGL,a,0,,,1,1,19
0.008751265,0.5,IGL,a,0,,,1,1,19
0.007309033,1,IGL,a,0,,,1,1,19
0.0058668,1.5,IGL,a,0,,,1,1,19
0.004424568,2,IGL,a,0,,,1,1,19
0.003540536,3,IGL,a,0,,,1,1,19
0.001772471,5,IGL,a,0,,,1,1,19
0.009821826,0,TPS10,a,0,,,1,1,20
0.094295619,0.5,TPS10,a,0,,,1,1,20
0.17876941250000003,1,TPS10,a,0,,,1,1,20
0.263243206,1.5,TPS10,a,0,,,1,1,20
0.347716999,2,TPS10,a,0,,,1,1,20
0.232072406,3,TPS10,a,0,,,1,1,20
0.00078322,5,TPS10,a,0,,,1,1,20
0.053972639,0,TPS2,a,0,,,1,1,21
0.155467442,0.5,TPS2,a,0,,,1,1,21
0.25696224500000003,1,TPS2,a,0,,,1,1,21
0.358457048,1.5,TPS2,a,0,,,1,1,21
0.459951851,2,TPS2,a,0,,,1,1,21
0.31207887466666673,3,TPS2,a,0,,,1,1,21
0.016332922,5,TPS2,a,0,,,1,1,21
