Channel_number,Emission,Type,time,comp,Totalbio,d1_time,intensity1,Leaf3
73,775.9,l3,4.666666667,DMNT,1,1,1,1
73,687.696,l3,4.833333333,DMNT,1,1,1,1
73,713.845,l3,5,DMNT,1,1,1,1
73,641.595,l3,5.166666667,DMNT,1,1,1,1
73,630.737,l3,5.333333333,DMNT,1,1,1,1
73,550.288,l3,5.5,DMNT,1,1,1,1
73,553.922,l3,5.666666667,DMNT,1,1,1,1
73,538.587,l3,5.833333333,DMNT,1,1,1,1
73,495.991,l3,6,DMNT,1,1,1,1
73,463.171,l3,6.166666667,DMNT,1,1,1,1
73,466.675,l3,6.333333333,DMNT,1,1,1,1
73,400.517,l3,6.5,DMNT,1,1,1,1
73,431.487,l3,6.666666667,DMNT,1,1,1,1
73,376.191,l3,6.833333333,DMNT,1,1,1,1
73,343.89,l3,7,DMNT,1,1,1,1
73,351.928,l3,7.166666667,DMNT,1,1,1,1
73,349.868,l3,7.333333333,DMNT,1,1,1,1
73,339.831,l3,7.5,DMNT,1,1,1,1
73,323.543,l3,7.666666667,DMNT,1,1,1,1
73,270.096,l3,7.833333333,DMNT,1,1,1,1
73,268.027,l3,8,DMNT,1,1,1,1
73,247.676,l3,8.166666667,DMNT,1,1,1,1
73,248.844,l3,8.333333333,DMNT,1,1,1,1
73,227.358,l3,8.5,DMNT,1,1,1,1
73,208.694,l3,8.666666667,DMNT,1,1,1,1
73,212.013,l3,8.833333333,DMNT,1,1,1,1
73,184.463,l3,9,DMNT,1,1,1,1
73,184.42,l3,9.166666667,DMNT,1,1,1,1
74,7.4635,l2,-0.666666667,DMNT,1,1,1,1
74,4.83731,l2,-0.5,DMNT,1,1,1,1
74,7.0405,l2,-0.333333333,DMNT,1,1,1,1
74,9.35736,l2,-0.166666667,DMNT,1,1,1,1
74,10.8893,l2,0,DMNT,1,1,1,1
74,6.96928,l2,0.166666667,DMNT,1,1,1,1
74,2.35958,l2,0.333333333,DMNT,1,1,1,1
74,2.29244,l2,0.5,DMNT,1,1,1,1
74,9.96548,l2,0.666666667,DMNT,1,1,1,1
74,12.2508,l2,0.833333333,DMNT,1,1,1,1
74,18.0358,l2,1,DMNT,1,1,1,1
74,43.441,l2,1.166666667,DMNT,1,1,1,1
74,67.4371,l2,1.333333333,DMNT,1,1,1,1
74,129.199,l2,1.5,DMNT,1,1,1,1
74,213.417,l2,1.666666667,DMNT,1,1,1,1
74,301.417,l2,1.833333333,DMNT,1,1,1,1
74,404.375,l2,2,DMNT,1,1,1,1
74,563.386,l2,2.166666667,DMNT,1,1,1,1
74,674.529,l2,2.333333333,DMNT,1,1,1,1
74,772.05,l2,2.5,DMNT,1,1,1,1
74,753.152,l2,2.666666667,DMNT,1,1,1,1
74,801.576,l2,2.833333333,DMNT,1,1,1,1
74,747.652,l2,3,DMNT,1,1,1,1
74,731.84,l2,3.166666667,DMNT,1,1,1,1
74,708.206,l2,3.333333333,DMNT,1,1,1,1
74,662.479,l2,3.5,DMNT,1,1,1,1
74,705.209,l2,3.666666667,DMNT,1,1,1,1
74,641.516,l2,3.833333333,DMNT,1,1,1,1
74,615.752,l2,4,DMNT,1,1,1,1
74,590.993,l2,4.166666667,DMNT,1,1,1,1
74,527.254,l2,4.333333333,DMNT,1,1,1,1
74,496.957,l2,4.5,DMNT,1,1,1,1
74,507.891,l2,4.666666667,DMNT,1,1,1,1
74,446.473,l2,4.833333333,DMNT,1,1,1,1
74,387.254,l2,5,DMNT,1,1,1,1
74,392.405,l2,5.166666667,DMNT,1,1,1,1
74,320.913,l2,5.333333333,DMNT,1,1,1,1
74,296.824,l2,5.5,DMNT,1,1,1,1
74,272.008,l2,5.666666667,DMNT,1,1,1,1
74,256.398,l2,5.833333333,DMNT,1,1,1,1
74,237.358,l2,6,DMNT,1,1,1,1
74,213.713,l2,6.166666667,DMNT,1,1,1,1
74,194.912,l2,6.333333333,DMNT,1,1,1,1
74,177.239,l2,6.5,DMNT,1,1,1,1
74,164.015,l2,6.666666667,DMNT,1,1,1,1
74,143.064,l2,6.833333333,DMNT,1,1,1,1
74,124.83,l2,7,DMNT,1,1,1,1
74,123.011,l2,7.166666667,DMNT,1,1,1,1
74,123.809,l2,7.333333333,DMNT,1,1,1,1
74,100.641,l2,7.5,DMNT,1,1,1,1
74,106.416,l2,7.666666667,DMNT,1,1,1,1
74,93.722,l2,7.833333333,DMNT,1,1,1,1
74,86.4405,l2,8,DMNT,1,1,1,1
74,81.1499,l2,8.166666667,DMNT,1,1,1,1
74,68.5228,l2,8.333333333,DMNT,1,1,1,1
74,69.5549,l2,8.5,DMNT,1,1,1,1
74,67.7089,l2,8.666666667,DMNT,1,1,1,1
74,43.2543,l2,8.833333333,DMNT,1,1,1,1
74,44.5812,l2,9,DMNT,1,1,1,1
74,50.5931,l2,9.166666667,DMNT,1,1,1,1
77,6.4102,l3,-0.666666667,DMNT,1,1,1,1
77,1.00E-08,l3,-0.5,DMNT,1,1,1,1
77,9.8372,l3,-0.333333333,DMNT,1,1,1,1
77,9.54181,l3,-0.166666667,DMNT,1,1,1,1
77,11.3562,l3,0,DMNT,1,1,1,1
77,11.7403,l3,0.166666667,DMNT,1,1,1,1
77,15.4462,l3,0.333333333,DMNT,1,1,1,1
77,11.809,l3,0.5,DMNT,1,1,1,1
77,15.1217,l3,0.666666667,DMNT,1,1,1,1
77,20.2095,l3,0.833333333,DMNT,1,1,1,1
77,24.1792,l3,1,DMNT,1,1,1,1
77,33.8666,l3,1.166666667,DMNT,1,1,1,1
77,71.7385,l3,1.333333333,DMNT,1,1,1,1
77,133.113,l3,1.5,DMNT,1,1,1,1
77,180.556,l3,1.666666667,DMNT,1,1,1,1
77,211.94,l3,1.833333333,DMNT,1,1,1,1
77,346.237,l3,2,DMNT,1,1,1,1
77,403.196,l3,2.166666667,DMNT,1,1,1,1
77,491.942,l3,2.333333333,DMNT,1,1,1,1
77,542.307,l3,2.5,DMNT,1,1,1,1
77,429.445,l3,2.666666667,DMNT,1,1,1,1
77,601.606,l3,2.833333333,DMNT,1,1,1,1
77,576.6,l3,3,DMNT,1,1,1,1
