,Emission,Channel_number,comp,time,Type,intensity1,position,d1_time,Totalbio,Leaf3
933,1.65069,60,TMTT,3,b,15_min_feeding,Wholeplant,10.5,60,60
934,0.270291,60,TMTT,4,b,15_min_feeding,Wholeplant,10.5,60,60
935,1.33547,60,TMTT,4.5,b,15_min_feeding,Wholeplant,10.5,60,60
936,1.25722,60,TMTT,5,b,15_min_feeding,Wholeplant,10.5,60,60
937,1.42632,60,TMTT,5.5,b,15_min_feeding,Wholeplant,10.5,60,60
938,1.62707,60,TMTT,6,b,15_min_feeding,Wholeplant,10.5,60,60
939,1.78455,60,TMTT,6.5,b,15_min_feeding,Wholeplant,10.5,60,60
940,0.644834,60,TMTT,7,b,15_min_feeding,Wholeplant,10.5,60,60
941,2.21268,60,TMTT,7.5,b,15_min_feeding,Wholeplant,10.5,60,60
942,1.50131,60,TMTT,8,b,15_min_feeding,Wholeplant,10.5,60,60
943,1.9084,60,TMTT,8.5,b,15_min_feeding,Wholeplant,10.5,60,60
944,1.42228,60,TMTT,9,b,15_min_feeding,Wholeplant,10.5,60,60
945,1.79315,60,TMTT,9.5,b,15_min_feeding,Wholeplant,10.5,60,60
946,0.401176,60,TMTT,10,b,15_min_feeding,Wholeplant,10.5,60,60
947,0.360551,60,TMTT,10.5,b,15_min_feeding,Wholeplant,10.5,60,60
948,1.49487,60,TMTT,11,b,15_min_feeding,Wholeplant,10.5,60,60
949,0.760424,60,TMTT,11.5,b,15_min_feeding,Wholeplant,10.5,60,60
950,1.46216,60,TMTT,12,b,15_min_feeding,Wholeplant,10.5,60,60
951,0.326804,60,TMTT,12.5,b,15_min_feeding,Wholeplant,10.5,60,60
952,1.13947,60,TMTT,13,b,15_min_feeding,Wholeplant,10.5,60,60
953,1.03774,60,TMTT,13.5,b,15_min_feeding,Wholeplant,10.5,60,60
954,0.653655,60,TMTT,14,b,15_min_feeding,Wholeplant,10.5,60,60
955,1.19451,60,TMTT,14.5,b,15_min_feeding,Wholeplant,10.5,60,60
956,0.644973,60,TMTT,15,b,15_min_feeding,Wholeplant,10.5,60,60
957,0.683198,60,TMTT,15.5,b,15_min_feeding,Wholeplant,10.5,60,60
958,0.978566,60,TMTT,16,b,15_min_feeding,Wholeplant,10.5,60,60
